Codigo,Nombre,Ubicacion,Latitud,Longitud
INS090101CV,"ESTACIÓN Los Altos, Quetzaltenango","Diagonal 10, 13-45 zona 6, interior del aeropuerto de Quetzaltenango",14.8599015,-91.50807279
INS090301CV,"ESTACIÓN Labor Ovalle, Quetzaltenango","",14.871334,-91.514438
INS010101CV,"ESTACIÓN INSIVUMEH, Guatemala","7 Av. 14-57 Zona 13, Ciudad de Guatemala",14.587267,-90.532679
INS010102CV,"ESTACIÓN La Aurora, Guatemala","9a Avenida 14-75, Zona 13, Ciudad de Guatemala",14.58619,-90.52773
INS030101AT,ESTACIÓN Antigua Guatemala,,14.53974,-90.7383
INS140101AT,ESTACIÓN Santa Cruz Quiché,"Entre 0 y 1ra avenida, 3ra calle zona 5, Edificio Municipal de Santa Cruz del Quiché",15.05016,-91.15395
INS180101CV,"ESTACIÓN Puerto Barrios PHC, Izabal","6ta calle, 6ta avenida, Edificio de Correos, Puerto Barrios, Izabal",15.730161,-88.584395
INS160101CV,"ESTACIÓN Cobán, Alta Verapaz","3ra calle 2-02 zona 3, Cobán, Alta Verapaz (Edificio de Correos)",15.46992,-90.405518
